Timestamp,Round,Download_Speed_Mbps,Upload_Speed_Mbps,Ping_ms
2024-05-08 11:56:53,1,7.553826293613996,70.6922407771727,24.789
2024-05-08 11:57:17,1,8.12970123081765,82.53285793064707,24.789
2024-05-08 11:57:38,1,7.355062197227442,72.9624524963229,24.789
2024-05-08 11:58:00,1,7.111717181862099,74.17323515953137,24.789
2024-05-08 11:58:22,1,8.272534425368434,72.81812332522631,24.789
2024-05-08 11:59:43,2,8.379263930196858,81.51472374519597,24.789
2024-05-08 12:00:05,2,8.556850764264757,89.57404671681091,24.789
2024-05-08 12:00:26,2,8.645360871323884,70.4797463658086,24.789
2024-05-08 12:00:48,2,6.333044918811011,88.16189699889506,24.789
2024-05-08 12:01:09,2,8.027014658814943,87.05216569596143,24.789
